threadNum,subTimeAvg,accuracy
1,973.0533382,0.95
2,453.5490736,0.93
4,319.6448812,0.92
5,219.6485753,0.93
10,201.5624702,0.91
20,108.6696059,0.93
25,89.97188882,0.96
40,75.53459406,0.91
45,74.80498902,0.98
50,66.55425394,0.89
60,64.01460369,0.99
80,75.49881403,0.98
100,62.920647,0.92
110,52.236756,0.94
120,83.871315,0.99
130,56.323405,0.89
150,57.78395,0.91
160,69.572613,1
170,74.326585,0.91
180,41.0270255,0.9
190,58.97275,0.95
200,52.40247,0.8
230,68.907517,0.77
240,65.27202106,0.87
250,69.419465,0.79
270,61.74591112,0.76
